question,answer,n
I can create a minimal executable bash script,2,1
I can create a minimal executable bash script,3,1
I can create a minimal executable bash script,4,2
I can create a minimal executable bash script,5,7
I can log in to Bianca via Rackham,0,2
I can log in to Bianca via Rackham,1,2
I can log in to Bianca via Rackham,2,1
I can log in to Bianca via Rackham,3,1
I can log in to Bianca via Rackham,4,1
I can log in to Bianca via Rackham,5,4
I can log in to the Bianca console environment using SSH,3,1
I can log in to the Bianca console environment using SSH,4,3
I can log in to the Bianca console environment using SSH,5,7
I can log in to the Bianca remote desktop using the website,3,1
I can log in to the Bianca remote desktop using the website,4,1
I can log in to the Bianca remote desktop using the website,5,9
I can manage my files and folders using a graphical file manager,3,2
I can manage my files and folders using a graphical file manager,4,2
I can manage my files and folders using a graphical file manager,5,6
I can manage my files and folders using a graphical file manager,NA,1
I can manage my files and folders using a terminal,1,1
I can manage my files and folders using a terminal,2,1
I can manage my files and folders using a terminal,4,2
I can manage my files and folders using a terminal,5,7
I can navigate to the wharf folder using a graphical file manager,3,2
I can navigate to the wharf folder using a graphical file manager,4,4
I can navigate to the wharf folder using a graphical file manager,5,5
I can navigate to the wharf folder using a terminal,1,1
I can navigate to the wharf folder using a terminal,2,1
I can navigate to the wharf folder using a terminal,3,2
I can navigate to the wharf folder using a terminal,4,2
I can navigate to the wharf folder using a terminal,5,5
I can start an interactive session,1,1
I can start an interactive session,3,2
I can start an interactive session,4,3
I can start an interactive session,5,5
I can submit jobs to the scheduler,1,1
I can submit jobs to the scheduler,3,3
I can submit jobs to the scheduler,4,1
I can submit jobs to the scheduler,5,6
I can transfer files to/from Bianca using FileZilla,1,1
I can transfer files to/from Bianca using FileZilla,3,2
I can transfer files to/from Bianca using FileZilla,5,8
I can use modules,2,1
I can use modules,3,2
I can use modules,4,3
I can use modules,5,5
I understand the legal aspects of sensitive data,2,1
I understand the legal aspects of sensitive data,4,2
I understand the legal aspects of sensitive data,5,8
