"Timestamp","Give you confidence levels of the following statements: [I can log in to the Bianca remote desktop using the website]","Give you confidence levels of the following statements: [I can log in to the Bianca console environment using SSH]","Give you confidence levels of the following statements: [I can navigate to the wharf folder using a graphical file manager]","Give you confidence levels of the following statements: [I can manage my files and folders using a graphical file manager]","Give you confidence levels of the following statements: [I can navigate to the wharf folder using a terminal]","Give you confidence levels of the following statements: [I can manage my files and folders using a terminal]","Give you confidence levels of the following statements: [I can create a minimal executable bash script]","Give you confidence levels of the following statements: [I can use modules]","Give you confidence levels of the following statements: [I can transfer files to/from Bianca using a graphical tool]","Give you confidence levels of the following statements: [I can start an interactive session]","Give you confidence levels of the following statements: [I can submit jobs to the scheduler]","Give you confidence levels of the following statements: [I can start an IDE]","Say something positive about Björn:","Say something about Björn he can improve:","Say something positive about Jayant:","Say something about Jayant he can improve:","Say something positive about Pavlin:","Say something about Pavlin he can improve:","Say something positive about Richèl:","Say something about Richèl he can improve:","Any other feedback?"
"2025/09/15 5:11:31 pm EEST","5","4","5","5","5","4","5","3","4","5","4","4","very calm and knowledgeable","","very calm and loved the mentimeter","","Loved his transparency about the complexity of the commands","","Loved his energy!","",""
"2025/09/15 5:11:32 pm EEST","5","5","5","5","5","5","5","5","5","4","3","4","","","","","","","Very structured and clear, which is highly appreciated. Good with the ""cold calls"".","","Perhaps provide the respective Bianca workshop links before the course (unless you have already done so and I missed it...), so one can get a bit more familiar with some terms? Every teacher did a good job, so no individual feedback here. It was rather the topics that were challenging at different levels, depending on the existing (or non-existing) background knowledge that made it easier or difficult to follow (hence, perhaps ""force"" the course participants to complete some reading-up before the course, or make them watch certain videos, etc., that you feel are important for understanding everything). Could be done in the Canvas platform for example where you can also see if someone has not done the respective task. "
"2025/09/15 5:11:27 pm EEST","5","5","5","5","5","5","5","5","5","5","5","5","","","","","","","","",""
"2025/09/15 5:11:19 pm EEST","5","4","5","5","3","3","3","3","5","0","0","0","great guy!","","great guy!","","clear instructions!","","Such a positive person and very good at getting students to teach each other","",""
"2025/09/15 5:11:39 pm EEST","5","5","5","5","5","5","5","5","5","5","5","5","organized, helped with login before the seminar","","organized and helpful","","organized and helpful","","organized and helpful","",""
"2025/09/15 5:11:08 pm EEST","5","4","5","5","4","4","4","3","4","5","5","3","","","","","","","","","Gentle introduction to the topics, good pace, good selection of topics."
"2025/09/15 5:11:32 pm EEST","5","5","5","5","5","5","5","5","5","4","3","4","","","","","","","Very structured and clear, which is highly appreciated. Good with the ""cold calls"".","","Perhaps provide the respective Bianca workshop links before the course (unless you have already done so and I missed it...), so one can get a bit more familiar with some terms? Every teacher did a good job, so no individual feedback here. It was rather the topics that were challenging at different levels, depending on the existing (or non-existing) background knowledge that made it easier or difficult to follow (hence, perhaps ""force"" the course participants to complete some reading-up before the course, or make them watch certain videos, etc., that you feel are important for understanding everything). Could be done in the Canvas platform for example where you can also see if someone has not done the respective task. "
"2025/09/15 5:11:25 pm EEST","4","4","4","4","4","4","4","4","4","4","4","4","","","","","","","","",""
"2025/09/15 5:11:03 pm EEST","5","5","5","5","5","5","5","5","5","5","5","5","","","","","","","","","The course is super helpful and thanks to all the instructors!"

